"Title","Default language","Default text","ja text","Variant status","Placeholder"
"7.1::Developer Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","Liferayのツール、モジュール構築、ポートレット開発等のチュートリアルにアクセス","Active","dc.7_1-developer_tutorials_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","Liferay DXPのメンテナンスと緊急アップデートの提供方法を参照","Active","dc.7_1-fix_delivery_method_card_description"
"7.1::Fix Packs Card","English","Fix Packs","フィックスパック","Active","dc.7_1-fix_packs_card"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","最新のフィックスパックをダウンロードと　　　インストールし、コードベースを更新","Active","dc.7_1-fix_packs_card_description"
"7.1::Help Topics Card","English","Help Topics","ヘルプトピック","Active","dc.7_1-help_topics_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","よく使われる記事をトピックごとに閲覧","Active","dc.7_1-help_topics_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","注目のトピック、事象、テーマに関する記事にアクセス","Active","dc.7_1-knowledge_base_card_description"
"7.1::Latest Release Card","English","Latest Release","最新リリース","Active","dc.7_1-latest_release_card"
"7.1::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.1.","Liferay DXP 7.1の最新リリースをダウンロードと　インストール","Active","dc.7_1-latest_release_card_description"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","Liferay Connected Services","Active","dc.7_1-liferay_connected_services_card"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","Liferay DXPのインフラストラクチャを維持する　クラウドベース管理ツール","Active","dc.7_1-liferay_connected_services_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","Enterprise Search","Active","dc.7_1-liferay_enterprise_search_card"
